397422,Rough_Night,"Five_best_friends_from_college_reunite_10_years_later_for_a_wild_bachelorette_weekend_in_Miami._Their_hard_partying_takes_a_hilariously_dark_turn_when_they_accidentally_kill_a_male_stripper._Amidst_the_craziness_of_trying_to_cover_it_up _they're_ultimately_brought_closer_together_when_it_matters_most.",577,19.368,5.688,1963
70435,Haywire,A_black_ops_soldier_seeks_payback_after_she_is_betrayed_and_left_for_dead.,509,17.259,5.7,1333
36599,Prom_Night,"At_a_high_school_senior_prom _a_masked_killer_stalks_four_teenagers_who_were_responsible_for_the_accidental_death_of_a_classmate_six_years_prior.",128,15.854,5.7,414
23410,The_Thaw,"At_a_remote_Arctic_research_station _four_ecology_students_discover_the_real_horror_of_global_warming_is_not_the_melting_ice _but_what's_frozen_within_it._A_prehistoric_parasite_is_released_from_the_carcass_of_a_Woolly_Mammoth_upon_the_unsuspecting_students_who_are_forced_to_quarantine_and_make_necessary_sacrifices _or_risk_infecting_the_rest_of_the_world.",482,18.424,5.689,304
278,The_Shawshank_Redemption,"Imprisoned_in_the_1940s_for_the_double_murder_of_his_wife_and_her_lover _upstanding_banker_Andy_Dufresne_begins_a_new_life_at_the_Shawshank_prison _where_he_puts_his_accounting_skills_to_work_for_an_amoral_warden._During_his_long_stretch_in_prison _Dufresne_comes_to_be_admired_by_the_other_inmates_--_including_an_older_prisoner_named_Red_--_for_his_integrity_and_unquenchable_sense_of_hope.",301,191.303,8.706,26757
238,The_Godfather,"Spanning_the_years_1945_to_1955 _a_chronicle_of_the_fictional_Italian-American_Corleone_crime_family._When_organized_crime_family_patriarch _Vito_Corleone_barely_survives_an_attempt_on_his_life _his_youngest_son _Michael_steps_in_to_take_care_of_the_would-be_killers _launching_a_campaign_of_bloody_revenge.",26,152.632,8.69,20306
240,The_Godfather_Part_II,"In_the_continuing_saga_of_the_Corleone_crime_family _a_young_Vito_Corleone_grows_up_in_Sicily_and_in_1910s_New_York._In_the_1950s _Michael_Corleone_attempts_to_expand_the_family_business_into_Las_Vegas _Hollywood_and_Cuba.",60,90.368,8.574,12244
424,Schindler's_List,The_true_story_of_how_businessman_Oskar_Schindler_saved_over_a_thousand_Jewish_lives_from_the_Nazis_while_they_worked_as_slaves_in_his_factory_during_World_War_II.,291,92.258,8.565,15659
389,12_Angry_Men,"The_defense_and_the_prosecution_have_rested_and_the_jury_is_filing_into_the_jury_room_to_decide_if_a_young_Spanish-American_is_guilty_or_innocent_of_murdering_his_father._What_begins_as_an_open_and_shut_case_soon_becomes_a_mini-drama_of_each_of_the_jurors'_prejudices_and_preconceptions_about_the_trial _the_accused _and_each_other.",-154,70.095,8.544,8490
129,Spirited_Away,"A_young_girl _Chihiro _becomes_trapped_in_a_strange_new_world_of_spirits._When_her_parents_undergo_a_mysterious_transformation _she_must_call_upon_the_courage_she_never_knew_she_had_to_free_her_family.",384,139.663,8.535,16288
19404,Dilwale_Dulhania_Le_Jayenge,"Raj_is_a_rich _carefree _happy-go-lucky_second_generation_NRI._Simran_is_the_daughter_of_Chaudhary_Baldev_Singh _who_in_spite_of_being_an_NRI_is_very_strict_about_adherence_to_Indian_values._Simran_has_left_for_India_to_be_married_to_her_childhood_fiancé._Raj_leaves_for_India_with_a_mission_at_his_hands _to_claim_his_lady_love_under_the_noses_of_her_whole_family._Thus_begins_a_saga.",314,53.491,8.531,4422
155,The_Dark_Knight,"Batman_raises_the_stakes_in_his_war_on_crime._With_the_help_of_Lt._Jim_Gordon_and_District_Attorney_Harvey_Dent _Batman_sets_out_to_dismantle_the_remaining_criminal_organizations_that_plague_the_streets._The_partnership_proves_to_be_effective _but_they_soon_find_themselves_prey_to_a_reign_of_chaos_unleashed_by_a_rising_criminal_mastermind_known_to_the_terrified_citizens_of_Gotham_as_the_Joker.",469,166.733,8.516,32494
496243,Parasite,"All_unemployed _Ki-taek's_family_takes_peculiar_interest_in_the_wealthy_and_glamorous_Parks_for_their_livelihood_until_they_get_entangled_in_an_unexpected_incident.",601,103.416,8.507,17981
497,The_Green_Mile,"A_supernatural_tale_set_on_death_row_in_a_Southern_prison _where_gentle_giant_John_Coffey_possesses_the_mysterious_power_to_heal_people's_ailments._When_the_cell_block's_head_guard _Paul_Edgecomb _recognizes_Coffey's_miraculous_gift _he_tries_desperately_to_help_stave_off_the_condemned_man's_execution.",364,97.284,8.507,17182
372058,Your_Name.,"High_schoolers_Mitsuha_and_Taki_are_complete_strangers_living_separate_lives._But_one_night _they_suddenly_switch_places._Mitsuha_wakes_up_in_Taki’s_body _and_he_in_hers._This_bizarre_occurrence_continues_to_happen_randomly _and_the_two_must_adjust_their_lives_around_each_other.",567,102.811,8.488,11228
